Combination,x_est_1,x_est_2,x_est_3,x_est_4,x_est_5,x_est_6,x_est_7,x_est_8,Residual,CondNum
"A,B,C,D,E,F,L,M",0.0,10.39475442699629,0.0,23.789508853992686,10.07367190110257,0.0,16.42064817908453,4.321416638823925,0.0,inf
"A,B,C,D,E,F,L,N",0.0,9.938638399522159,0.0,24.313526425798837,10.033890713645855,0.0,16.4266945356823,9.28724992535086,0.0,inf
"A,B,C,D,E,F,L,O",0.0,10.604714912280565,0.0,23.50621345029253,10.111293859649116,0.0,16.426169590643287,14.351608187134511,0.0,inf
"A,B,C,D,E,F,L,P",0.0,10.724699982088502,0.0,22.93211535017014,0.0,9.508866200967223,17.07567615977073,19.758642307003406,0.0,inf
"A,B,C,D,E,F,L,Q",9.70264175257732,21.29537156357388,0.0,0.0,10.890088058419241,0.0,17.137134879725078,6.9747637457044664,0.0,7.478064188282767e+49
"A,B,C,D,E,F,L,R",10.410859815788248,20.784515600134974,0.0,0.0,10.736340840044353,0.0,17.294738872546667,11.773544871485756,0.0,1.629203025113149e+51
"A,B,C,D,E,F,L,S",11.566040854882546,19.64148069429681,0.0,0.0,10.720592750029523,0.0,17.334821112291895,16.737064588499223,0.0,3.7313236512137e+50
"A,B,C,D,E,F,L,T",8.989461103867871,21.976368970013034,0.0,0.0,10.999511082138191,0.0,17.03672316384181,21.997935680139086,0.0,3.529419388533814e+51
"A,B,C,D,E,F,M,N",6.41411601491381,0.22439954911994872,0.0,27.991329229168358,0.0,8.7444723835949,0.0,12.625682823202972,0.0,inf
"A,B,C,D,E,F,M,O",8.105241605241682,0.0,0.0,27.368686868686797,0.0,8.335517335517332,11.32227682227681,5.868277368277366,0.0,7.088409981160115e+33
"A,B,C,D,E,F,M,P",5.1059490084986425,0.0,0.0,30.607554296506063,0.0,8.492162417374884,14.045136921624145,7.749197355996254,0.0,2.3419235206419717e+35
"A,B,C,D,E,F,M,Q",10.61422861431587,20.042204108704386,0.0,0.0,0.0,10.156319271115148,4.269439547588717,6.917808458275878,0.0,3.626132662174022e+35
"A,B,C,D,E,F,M,R",10.303269016105833,20.506609791101926,0.0,0.0,0.0,10.070658587147191,4.367317812151187,11.752144793493864,0.0,8.363268965220116e+34
"A,B,C,D,E,F,M,S",11.179286431530052,19.63141709551901,0.0,0.0,0.0,10.070713568469946,4.394643529559441,16.72393937492155,0.0,7.49679504908291e+35
"A,B,C,D,E,F,M,T",10.550063769938998,20.100555584674275,0.0,0.0,0.0,10.220015025245916,4.209680800880549,21.919684819260258,0.0,8.573545255734308e+35
